[2026-01-08 18:30:56] Client: [::1]:37572 | Host: accounts.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:58] Client: [::1]:49386 | Host: ssl.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:30:59] Client: [::1]:49388 | Host: chat.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:08] Client: [::1]:57164 | Host: antigravity-auto-updater-974169037036.us-central1.run.app | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:10] Client: [::1]:57180 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:10] Client: [::1]:57192 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:10] Client: [::1]:57218 | Host: docs.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:10] Client: [::1]:57208 | Host: gemini.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:13] Client: [::1]:57220 | Host: ab.chatgpt.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:26] Client: [::1]:59180 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:26] Client: [::1]:59186 | Host: signaler-pa.clients6.google.com | Method: CONNECT | Status: ERROR | Details: Failed to connect: dial tcp: lookup signaler-pa.clients6.google.com on 127.0.0.53:53: server misbehaving
[2026-01-08 18:31:26] Client: [::1]:59194 | Host: signaler-pa.clients6.google.com | Method: CONNECT | Status: ERROR | Details: Failed to connect: dial tcp: lookup signaler-pa.clients6.google.com on 127.0.0.53:53: server misbehaving
[2026-01-08 18:31:26] Client: [::1]:42948 | Host: www.facebook.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:31:27] Client: [::1]:42960 | Host: chatgpt.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:31:27] Client: [::1]:42944 | Host: chatgpt.com | Method: CONNECT | Status: OK | Details: Tunnel established
